"Plaza/Time","21","23","1","3","5","7","9","11","13","15","17","19","21","23","1","3","5","7","9","11","13","15","17","19","21","23","1","3","5","7","9","11"
"Times Square","21","15","5","2","3","20","22","13","17","19","32","37","21","13","6","2","5","16","22","14","12","21","18","28","19","15","3","3","5","13","20","4"
"City Hall Park","0","0","0","0","1","4","5","3","6","4","11","2","0","1","0","0","0","1","3","1","1","2","2","3","2","0","0","0","0","2","1","0"
"Petrosino Square","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eventi - A Kimpton Hotel","1","1","0","0","0","1","3","1","1","1","1","4","4","1","0","0","0","0","4","2","0","1","1","0","1","3","0","0","1","3","2","2"
"Worth Square","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"East Midtown Plaza","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Union Square Steps","0","0","0","0","0","1","0","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Alamo ""The Cube""","1","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0"
"Herald Square","1","3","1","0","0","10","8","4","11","12","15","4","4","21","0","0","3","6","8","5","5","7","3","4","2","2","0","0","2","9","7","1"
"Grace Plaza","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gould Plaza","0","0","0","0","0","0","1","5","1","1","0","0","1","0","0","0","0","1","3","2","0","0","0","0","0","0","0","0","0","0","3","0"
"Greeley Square","0","0","0","0","0","1","3","2","3","0","4","1","1","0","0","0","0","3","2","0","2","1","2","1","3","0","0","0","0","3","2","1"
"Astor Place","1","1","0","0","0","2","0","2","2","1","1","2","2","0","0","0","0","3","0","2","1","1","2","2","3","1","0","0","0","1","1","0"
"US Post Office","1","0","0","1","0","3","0","0","4","2","5","1","1","0","0","0","1","1","2","1","3","0","0","2","1","1","0","0","1","0","1","0"
"Con Edison 2012 Picket Line","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Flatiron Plaza","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Battery Park","0","2","0","1","0","1","3","11","8","5","0","1","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","1","2","2"
"Bryant Park","4","0","0","0","2","12","13","18","47","22","29","10","11","1","1","0","1","9","11","6","9","3","9","6","5","3","0","0","1","18","18","1"
"Bleecker Street","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"Waterside Plaza","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0"
"Christopher Park","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Worldwide Plaza","1","0","0","0","0","0","2","2","2","1","0","1","1","0","0","0","1","0","0","0","1","0","2","0","1","1","0","0","0","0","3","1"
"Kimlau Square","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Benches at Hester and Allen","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Union Square Circle","1","0","0","0","0","1","0","0","2","3","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Trump SoHo New York","2","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","4","0","0","1","1","1","2","0","0","0","2","0","0","1"
"us olympic committee - 100 days to london","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cooper Square","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Rockefeller Center","8","4","0","1","1","6","9","17","15","11","13","11","5","3","0","1","0","3","7","9","8","8","5","2","4","3","0","1","0","6","12","0"
"Columbus Circle","6","0","2","0","2","5","11","14","7","11","19","13","2","1","0","0","1","9","7","3","9","5","8","8","5","3","1","0","1","6","15","3"
"The Cube","1","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0"
"South Street Seaport","0","0","0","0","1","1","4","3","4","5","4","4","2","0","0","0","0","1","2","2","3","0","1","1","0","146","0","0","0","2","0","0"
"34th Street","0","0","0","0","0","1","2","1","4","2","3","1","0","1","0","0","0","2","2","0","0","1","1","0","1","31","0","0","1","2","12","0"
"Foley Square","0","0","0","0","0","0","0","1","3","1","1","0","0","0","0","0","0","1","2","2","0","1","0","0","0","0","0","0","0","1","1","0"
"Under The Manhattan Bridge, Manhattan","0","1","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"Samuel Dickstein Plaza","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Abe Lebewohl Park","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0"
"Rockefeller Center Promenade","0","0","0","0","0","0","1","0","4","0","2","0","0","0","0","0","1","0","1","1","0","0","3","0","0","1","0","0","0","0","0","0"
"World Financial Center (WFC) Plaza","0","0","0","0","0","0","0","0","4","1","2","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"Lincoln Center Plaza (Josie Robertson Plaza)","1","0","0","0","0","0","0","0","6","1","3","2","1","0","0","0","0","0","3","0","0","0","1","4","3","0","0","0","0","0","0","0"
"Rockefeller Plaza","0","0","0","0","0","1","1","1","0","2","1","1","0","0","0","0","0","1","2","0","0","2","2","0","0","0","0","0","0","1","2","0"
"St. Mark's Place","0","0","0","0","0","0","0","1","0","1","1","2","0","0","0","0","0","0","0","0","2","0","1","3","0","0","0","0","0","0","0","0"
"W New York - Times Square","5","3","1","0","1","3","2","4","6","2","2","6","8","10","1","1","0","1","3","0","3","1","1","10","6","4","2","0","0","1","2","1"
"Paramount Plaza","0","0","0","0","0","4","3","1","0","1","1","0","0","0","0","0","0","3","0","1","0","2","0","0","0","0","0","0","0","1","2","0"
"Confucius Plaza","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"Third North Courtyard Cafe","0","0","0","0","0","0","0","1","0","1","0","4","1","0","0","0","0","0","0","1","2","0","1","0","0","0","0","0","0","0","0","0"
"Father Demo Square","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Deutsche Bank","0","0","0","0","0","3","4","1","1","1","2","2","0","0","0","0","0","2","2","1","1","2","0","1","1","0","0","0","0","4","1","1"
"Cooper Triangle","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stuyvesent Town 20th Street Loop","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
